Date,Open,High,Low,Close,Adj Close,Volume
30-Sep-22,141.28,143.1,138,138.2,137.97,"124,925,300"
3-Oct-22,138.21,143.07,137.69,142.45,142.21,"114,311,700"
4-Oct-22,145.03,146.22,144.26,146.1,145.86,"87,830,100"
5-Oct-22,144.07,147.38,143.01,146.4,146.16,"79,471,000"
6-Oct-22,145.81,147.54,145.22,145.43,145.19,"68,402,200"
7-Oct-22,142.54,143.1,139.45,140.09,139.86,"85,925,600"
10-Oct-22,140.42,141.89,138.57,140.42,140.19,"74,899,000"
11-Oct-22,139.9,141.35,138.22,138.98,138.75,"77,033,700"
12-Oct-22,139.13,140.36,138.16,138.34,138.11,"70,433,700"
13-Oct-22,134.99,143.59,134.37,142.99,142.75,"113,224,000"
14-Oct-22,144.31,144.52,138.19,138.38,138.15,"88,598,000"
17-Oct-22,141.07,142.9,140.27,142.41,142.17,"85,250,900"
18-Oct-22,145.49,146.7,140.61,143.75,143.51,"99,136,600"
19-Oct-22,141.69,144.95,141.5,143.86,143.62,"61,758,300"
20-Oct-22,143.02,145.89,142.65,143.39,143.15,"64,522,000"
21-Oct-22,142.87,147.85,142.65,147.27,147.03,"86,548,600"
24-Oct-22,147.19,150.23,146,149.45,149.2,"75,981,900"
25-Oct-22,150.09,152.49,149.36,152.34,152.09,"74,732,300"
26-Oct-22,150.96,151.99,148.04,149.35,149.1,"88,194,300"
27-Oct-22,148.07,149.05,144.13,144.8,144.56,"109,180,200"
28-Oct-22,148.2,157.5,147.82,155.74,155.48,"164,762,400"
31-Oct-22,153.16,154.24,151.92,153.34,153.09,"97,943,200"
1-Nov-22,155.08,155.45,149.13,150.65,150.4,"80,379,300"
2-Nov-22,148.95,152.17,145,145.03,144.79,"93,604,600"
3-Nov-22,142.06,142.8,138.75,138.88,138.65,"97,918,500"
4-Nov-22,142.09,142.67,134.38,138.38,138.38,"140,814,800"
7-Nov-22,137.11,139.15,135.67,138.92,138.92,"83,374,600"
8-Nov-22,140.41,141.43,137.49,139.5,139.5,"89,908,500"
9-Nov-22,138.5,138.55,134.59,134.87,134.87,"74,917,800"
10-Nov-22,141.24,146.87,139.5,146.87,146.87,"118,854,000"
11-Nov-22,145.82,150.01,144.37,149.7,149.7,"93,979,700"
14-Nov-22,148.97,150.28,147.43,148.28,148.28,"73,374,100"
15-Nov-22,152.22,153.59,148.56,150.04,150.04,"89,868,300"
16-Nov-22,149.13,149.87,147.29,148.79,148.79,"64,218,300"
17-Nov-22,146.43,151.48,146.15,150.72,150.72,"80,389,400"
18-Nov-22,152.31,152.7,149.97,151.29,151.29,"74,829,600"
21-Nov-22,150.16,150.37,147.72,148.01,148.01,"58,724,100"
22-Nov-22,148.13,150.42,146.93,150.18,150.18,"51,804,100"
23-Nov-22,149.45,151.83,149.34,151.07,151.07,"58,301,400"
25-Nov-22,148.31,148.88,147.12,148.11,148.11,"35,195,900"
28-Nov-22,145.14,146.64,143.38,144.22,144.22,"69,246,000"
29-Nov-22,144.29,144.81,140.35,141.17,141.17,"83,763,800"
30-Nov-22,141.4,148.72,140.55,148.03,148.03,"111,380,900"
1-Dec-22,148.21,149.13,146.61,148.31,148.31,"71,250,400"
2-Dec-22,145.96,148,145.65,147.81,147.81,"65,447,400"
5-Dec-22,147.77,150.92,145.77,146.63,146.63,"68,826,400"
